Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Adresse_1,Adresse_2,Adresse_3,Code postal,Code_commune,Nom_commune,Code_departement,Code_academie,Code_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Apprentissage,Segpa,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Lycee_des_metiers,Post_BAC,Appartenance_Education_Prioritaire,GRETA,SIREN_SIRET,Nombre_d_eleves,Fiche_onisep,position,Type_contrat_prive,Libelle_departement,Libelle_academie,Libelle_region,coordonnee_X,coordonnee_Y,epsg,nom_circonscription,latitude,longitude,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,etablissement_multi_lignes,rpi_concentre,rpi_disperse,code_nature,libelle_nature,Code_type_contrat_prive,PIAL,etablissement_mere,type_rattachement_etablissement_mere,code_bassin_formation,libelle_bassin_formation
0753219S,E.P.PR SAINT LOUIS 10 rue du Petit Musc,Ecole,Privé,10 rue du Petit Musc,,75004 PARIS,75004,75104,Paris  4e  Arrondissement,75,1,11,1,1,,,,973560224,,,ecolesaintlouis75@yahoo.fr,1,0,0,,,,,,,,,,,,,,,7.95E+13,,,48.85179213,,,,,,,,,,,,,,,,,,,,,,,,,,
0753452V,E.P.PR YAD MORDEKHAI 145 rue Saint-Maur,Ecole,Privé,145 rue Saint-Maur,,75011 PARIS,75011,75111,Paris 11e  Arrondissement,75,1,11,1,1,,,,143147420,,,yad.ispym@gmail.com,0,0,0,,,,,,,,,,,,,,,3.41E+13,,,48.86784011,,,,,,,,,,,,,,,,,,,,,,,,,,
0754933E,E.P.PR MONTESSORI PARIS-DROUOT 13 rue de la Grange Batelière,Ecole,Privé,13 rue de la Grange Batelière,,75009 PARIS,75009,75109,Paris  9e  Arrondissement,75,1,11,1,1,,,,142471282,,,direction@ecolemontessoriparis.fr,1,0,0,,,,,,,,,,,,,,,,,,48.87304765,,,,,,,,,,,,,,,,,,,,,,,,,,
0754986M,E.P.PR IGOUD H AREDI 35 rue Miguel Hidalgo,Ecole,Privé,35 rue Miguel Hidalgo,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,1,1,,,,142009606,,,igoud@wanadoo.fr,0,0,0,,,,,,,,,,,,,,,3.81E+13,,,48.88171224,,,,,,,,,,,,,,,,,,,,,,,,,,
0755055M,E.E.PR YECHIVA TORAH WERAHAMIM 15 rue Riquet,Ecole,Privé,15 rue Riquet,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,0,1,,,,140382336,,,ajj@free.fr,0,0,0,,,,,,,,,,,,,,,,,,48.88824618,,,,,,,,,,,,,,,,,,,,,,,,,,
0755223V,E.M.PR AT MONTESSORI 60 rue Notre Dame des Champs,Ecole,Privé,60 rue Notre Dame des Champs,,75006 PARIS,75006,75106,Paris  6e  Arrondissement,75,1,11,1,0,,,,145484397,,,contact@at-montessori.com,0,0,0,,,,,,,,,,,,,,,4.83E+13,,,48.84336507,,,,,,,,,,,,,,,,,,,,,,,,,,
0755540P,E.P.PR LA MAISON DES ENFANTS Route du Champ de Manoeuvre,Ecole,Privé,Route du Champ de Manoeuvre,,75012 PARIS,75012,75112,Paris 12e  Arrondissement,75,1,11,1,1,,,,148086103,,,contact@lamaisondesenfants-cartoucherie.fr,0,0,0,,,,,,,,,,,,,,,,,,48.83471608,,,,,,,,,,,,,,,,,,,,,,,,,,
0755845W,E.M.PR LA PETITE ECOLE DU BON PASTEUR 90 rue de l'Assomption,Ecole,Privé,90 rue de l'Assomption,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,0,,,,662061358,,,assomption@lapetiteecoledubonpasteur.com,0,0,0,,,,,,,,,,,,,,,,,,48.85555227,,,,,,,,,,,,,,,,,,,,,,,,,,
0755865T,E.P.PR ETRE ET SAVOIR 2 rue Santerre,Ecole,Privé,2 rue Santerre,,75012 PARIS,75012,75112,Paris 12e  Arrondissement,75,1,11,1,1,,,,,,,direction@etre-et-savoir.org,0,0,0,,,,,,,,,,,,,,,,,,48.84268707,,,,,,,,,,,,,,,,,,,,,,,,,,
0755886R,E.E.PR COURS DU PONT DE PIERRE 11 rue Pierre Villey,Ecole,Privé,11 rue Pierre Villey,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,0,1,,,,952533012,,,gregoire@coursdupontdepierre.com,0,0,0,,,,,,,,,,,,,,,7.91E+13,,,48.85989102,,,,,,,,,,,,,,,,,,,,,,,,,,
0755899E,E.P.PR ELLIPSE MONTESSORI ACADEMY 3 rue Amélie,Ecole,Privé,3 rue Amélie,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,1,1,,,,145006625,,,direction@ellipsema.com,0,0,0,,,,,,,,,,,,,,,,,,48.85939966,,,,,,,,,,,,,,,,,,,,,,,,,,
0755913V,E.M.PR LILY SCHOOL PARIS 55 rue Paul Barruel,Ecole,Privé,55 rue Paul Barruel,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,1,0,,,,171247298,,,info@lilyschool.paris,0,0,0,,,,,,,,,,,,,,,8.11E+13,,,48.8368547,,,,,,,,,,,,,,,,,,,,,,,,,,
0756102A,E.M.PR LES PETITS CRAYONS,Ecole,Privé,28 rue Saint Lambert,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,1,0,,,,156080364,,,contact@lespetitscrayons.com,0,0,0,,,,,,,,,,,,,,,,,,48.83729778,,,,,,,,,,,,,,,,,,,,,,,,,,
0756372U,E.M.PR ECOLE KOENIG 12 rue Letellier,Ecole,Privé,12 rue Letellier,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,1,0,,,,145780175,,,admin@ecolekoenig.com,0,0,0,,,,,,,,,,,,,,,,,,48.84839613,,,,,,,,,,,,,,,,,,,,,,,,,,
0756381D,E.M.PR DOUCES MATERNELLES MESLAY 48 rue Meslay,Ecole,Privé,48 rue Meslay,,75003 PARIS,75003,75103,Paris  3e  Arrondissement,75,1,11,1,0,,,,661949242,,,annelaure.roussel@doucesmaternelles.com,0,0,0,,,,,,,,,,,,,,,,,,48.86836789,,,,,,,,,,,,,,,,,,,,,,,,,,
0756395U,E.P.PR CONCORDIA BILINGUAL SCHOOL 7 rue Cimarosa,Ecole,Privé,7 rue Cimarosa,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,182092863,,,info@concordiaschoolparis.com,0,0,0,,,,,,,,,,,,,,,8.43E+13,,,48.86814091,,,,,,,,,,,,,,,,,,,,,,,,,,
0771252T,Ecole primaire privée Sainte-Colombe,Ecole,Privé,8 place des Minimes,,77170 BRIE COMTE ROBERT,77170,77053,Brie-Comte-Robert,77,24,11,1,1,,,,164050045,,,ce.0771252T@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,206,,48.68941631,,,,,,,,,,,,,,,,,,,,,,,,,,
0771253U,Ecole primaire privée Guy Gasnier,Ecole,Privé,1 rue JEAN VERON,,77500 CHELLES,77500,77108,Chelles,77,24,11,1,1,,,,164724350,,,ce.0771253U@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,494,,48.88098334,,,,,,,,,,,,,,,,,,,,,,,,,,
0771268K,Ecole primaire privée Sainte-Marie,Ecole,Privé,71 rue Saint Honoré,,77300 FONTAINEBLEAU,77300,77186,Fontainebleau,77,24,11,1,1,,,,164222242,,,ce.0771268K@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,402,,48.40563796,,,,,,,,,,,,,,,,,,,,,,,,,,
0771269L,Ecole primaire privée Saint-Louis,Ecole,Privé,40 rue Carnot,,77300 FONTAINEBLEAU,77300,77186,Fontainebleau,77,24,11,1,1,,,,164220860,,,ce.0771269L@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.30E+13,177,,48.40864864,,,,,,,,,,,,,,,,,,,,,,,,,,
0771271N,Ecole primaire privée Sacré Coeur,Ecole,Privé,2 rue Paul Quesvers,,77130 MONTEREAU FAULT YONNE,77130,77305,Montereau-Fault-Yonne,77,24,11,1,1,,,,164708248,,,ce.0771271N@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,5.25E+13,176,,48.3813828,,,,,,,,,,,,,,,,,,,,,,,,,,
0771286E,Ecole primaire privée Sainte-Marie,Ecole,Privé,10 boulevard Gambetta,,77000 MELUN,77000,77288,Melun,77,24,11,1,1,,,,164529628,,,ce.0771286E@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,3.17E+13,258,,48.53788516,,,,,,,,,,,,,,,,,,,,,,,,,,
0771287F,Ecole primaire privée Saint-Paul,Ecole,Privé,Rue du Moulin à Vent,BP 30,77240 CESSON,77240,77067,Cesson,77,24,11,1,1,,,,164109212,,,ce.0771287F@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.89E+13,330,,48.57159962,,,,,,,,,,,,,,,,,,,,,,,,,,
0771288G,Ecole primaire privée Jeanne d'Arc,Ecole,Privé,62 rue du Général de Gaulle,,77000 MELUN,77000,77288,Melun,77,24,11,1,1,,,,164144440,,,ce.0771288G@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,377,,48.5423054,,,,,,,,,,,,,,,,,,,,,,,,,,
0772456B,Ecole élémentaire privée Internationale Marne-La-Vallée,Ecole,Privé,50 rue du 27 Août 1944,BP 26,77450 MONTRY,77450,77315,Montry,77,24,11,0,1,,,,160043470,,,ce.0772456B@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,3.92E+13,113,,48.88349729,,,,,,,,,,,,,,,,,,,,,,,,,,
0772796W,Ecole maternelle privée la Maison des Enfants de Marne La Vallée,Ecole,Privé,16 sente Des Carrières,,77600 BUSSY ST GEORGES,77600,77058,Bussy-Saint-Georges,77,24,11,1,0,,,,164672178,,,ce.0772796W@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,7.52E+13,,,48.83808992,,,,,,,,,,,,,,,,,,,,,,,,,,
0772863U,Ecole primaire privée Montessori de Melun Vaulx-le-Penil,Ecole,Privé,949 avenue DE SAINT JUST,,77000 VAUX LE PENIL,77000,77487,Vaux-le-Pénil,77,24,11,1,1,,,,787854598,,,ce.0772863U@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,,,,48.53402039,,,,,,,,,,,,,,,,,,,,,,,,,,
0772880M,Ecole la ferme des savoirs,Ecole,Privé,25 avenue Missak Manouchian,,77176 SAVIGNY LE TEMPLE,77176,77445,Savigny-le-Temple,77,24,11,1,1,,,,160631538,,,ce.0772880M@ac-creteil.fr,1,0,1,,,,,,,,,,,,,,,,,,48.58531108,,,,,,,,,,,,,,,,,,,,,,,,,,
0772888W,Ecole Montessori Les Galopins,Ecole,Privé,125 avenue de Fontainebleau,,77310 ST FARGEAU PONTHIERRY,77310,77407,Saint-Fargeau-Ponthierry,77,24,11,1,1,,,,677774047,,,ce.0772888W@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.53204417,,,,,,,,,,,,,,,,,,,,,,,,,,
0772938A,Ecole primaire privée E3C Ecole Créative,Ecole,Privé,Rue de Laval,,77120 BEAUTHEIL SAINTS,77120,77433,Beautheil-Saints,77,24,11,1,1,,,,646150872,,,ce.0772938A@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,9.05E+13,,,48.75939399,,,,,,,,,,,,,,,,,,,,,,,,,,
0772947K,Ecole primaire privée Nova School,Ecole,Privé,9 rue du Général de Gaulle,,77166 GRISY SUISNES,77166,77217,Grisy-Suisnes,77,24,11,1,1,,,,602715199,,,ce.0772947K@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,9.15E+13,,,48.66047315,,,,,,,,,,,,,,,,,,,,,,,,,,
0780058P,Ecole élémentaire privée Sainte Odile,Ecole,Privé,15 route de la Passerelle,,78110 LE VESINET,78110,78650,Le Vésinet,78,25,11,1,1,,,,139766012,,,ce.0780058P@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.89993536,,,,,,,,,,,,,,,,,,,,,,,,,,
0780070C,Ecole élémentaire privée Saint Joseph,Ecole,Privé,02 place de l'Eglise,BP 60001,78700 CONFLANS STE HONORINE,78700,78172,Conflans-Sainte-Honorine,78,25,11,1,1,,,,139191400,,,ce.0780070C@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.99210738,,,,,,,,,,,,,,,,,,,,,,,,,,
0780075H,Ecole élémentaire privée Sainte Jeanne d'Arc,Ecole,Privé,22 rue du Général Leclerc,,78430 LOUVECIENNES,78430,78350,Louveciennes,78,25,11,1,1,,,,139691844,,,ce.0780075H@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,48.86141595,,,,,,,,,,,,,,,,,,,,,,,,,,
0780081P,Ecole élémentaire privée Blanche de Louvencourt,Ecole,Privé,01 rue de Louvencourt,BP 32,78160 MARLY LE ROI,78160,78372,Marly-le-Roi,78,25,11,1,1,,,,139586598,,,ce.0780081P@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,4.28E+13,,,48.86921648,,,,,,,,,,,,,,,,,,,,,,,,,,
0780109V,Ecole élémentaire privée Blanche de Castille,Ecole,Privé,19 rue Louis Pasteur LE CHESNAY,,78150 LE CHESNAY ROCQUENCOURT,78150,78158,Le Chesnay-Rocquencourt,78,25,11,1,1,,,,139550421,,,ce.0780109V@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.03E+13,,,48.82040072,,,,,,,,,,,,,,,,,,,,,,,,,,
0780124L,Ecole élémentaire privée Cours Privé du Chateau,Ecole,Privé,43 rue de Stalingrad,,78500 SARTROUVILLE,78500,78586,Sartrouville,78,25,11,0,1,,,,130868666,,,administration@coursduchateau.com,1,0,0,,,,,,,,,,,,,,,,,,48.94396148,,,,,,,,,,,,,,,,,,,,,,,,,,
0782081N,Ecole élémentaire privée  International  Malherbe,Ecole,Privé,19 rue 11 Novembre,,78110 LE VESINET,78110,78650,Le Vésinet,78,25,11,1,1,,,,139764737,,,principal@ecole-malherbe.com,0,0,0,,,,,,,,,,,,,,,3.79E+13,,,48.89221024,,,,,,,,,,,,,,,,,,,,,,,,,,
0783631Y,Ecole élémentaire privée Montessori internationale El Nido,Ecole,Privé,1120 route des Alluets,,78630 ORGEVAL,78630,78466,Orgeval,78,25,11,1,1,,,,139746366,,,elnido.montessori@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.91742409,,,,,,,,,,,,,,,,,,,,,,,,,,
0783687J,Ecole primaire privée La Boussole,Ecole,Privé,35 rue Jean Baptiste Marchand,,78200 MANTES LA JOLIE,78200,78361,Mantes-la-Jolie,78,25,11,1,1,,,,650324723,,,pf-chanu@hotmail.fr,1,0,0,,,,,,,,,,,,,,,,,,49.00351235,,,,,,,,,,,,,,,,,,,,,,,,,,
0783715P,Ecole élémentaire privée de la Jonchère,Ecole,Privé,Sente de Bournival,,78170 LA CELLE ST CLOUD,78170,78126,La Celle-Saint-Cloud,78,25,11,1,1,,,,161303019,,,cdray@eibparis.fr,0,0,0,,,,,,,,,,,,,,,,,,48.86160872,,,,,,,,,,,,,,,,,,,,,,,,,,
0783740S,Ecole primaire privée Encyclopédia School Montessori,Ecole,Privé,14 rue Montchauvet,,78711 MANTES LA VILLE,78711,78362,Mantes-la-Ville,78,25,11,1,1,,,,,,,Direction@encyclopedia-school-montessori.fr,1,0,0,,,,,,,,,,,,,,,8.35E+13,,,48.9654792,,,,,,,,,,,,,,,,,,,,,,,,,,
0783744W,Ecole maternelle privée - Arbre bleu - Ecole Montessori,Ecole,Privé,3 route Départementale 58 - Abbaye Notre Dame de la Roche,,78320 LEVIS ST NOM,78320,78334,Lévis-Saint-Nom,78,25,11,1,0,,,,,,,communication@arbrebleu-montessori.fr,0,0,0,,,,,,,,,,,,,,,,,,48.73499428,,,,,,,,,,,,,,,,,,,,,,,,,,
0783757K,Ecole maternelle privée Gan Lehaim Chatou,Ecole,Privé,57 boulevard de la République,,78400 CHATOU,78400,78146,Chatou,78,25,11,1,0,,,,649051907,,,ganlechaimchatou@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.89571066,,,,,,,,,,,,,,,,,,,,,,,,,,
0783760N,Ecole primaire privée EMB POISSY,Ecole,Privé,26 rue Saint-Barthélémy,,78300 POISSY,78300,78498,Poissy,78,25,11,1,1,,,,660530365,,,contact@montessori-poissy.com,1,0,0,,,,,,,,,,,,,,,,,,48.91913034,,,,,,,,,,,,,,,,,,,,,,,,,,
0783769Y,FOREST INTERNATIONAL SCHOOL,Ecole,Privé,28  rue du Tour d'Echelle,,78750 MAREIL MARLY,78750,78367,Mareil-Marly,78,25,11,0,1,,,,,,,info@forest-international-school.com,1,0,0,,,,,,,,,,,,,,,,,,48.87439096,,,,,,,,,,,,,,,,,,,,,,,,,,
0783797D,Ecole maternelle privée montessori academy,Ecole,Privé,21 route de versailles,,78430 LOUVECIENNES,78430,78350,Louveciennes,78,25,11,1,0,,,,681677903,,,cecile@montessoriacademy.fr,1,0,0,,,,,,,,,,,,,,,,,,48.85930921,,,,,,,,,,,,,,,,,,,,,,,,,,
0910881N,Ecole primaire privée Thomas Becket,Ecole,Privé,9 rue du Puits Grès,,91790 BOISSY SOUS ST YON,91790,91085,Boissy-sous-Saint-Yon,91,25,11,1,1,,,,160820658,,,ce.0910881N@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.55755531,,,,,,,,,,,,,,,,,,,,,,,,,,
0910902L,Ecole primaire privée Sainte Thérèse,Ecole,Privé,5 rue de l'Ancienne Eglise,,91230 MONTGERON,91230,91421,Montgeron,91,25,11,1,1,,,,169033409,,,ce.0910902L@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.70818438,,,,,,,,,,,,,,,,,,,,,,,,,,
0910912X,Ecole primaire privée Saint Martin,Ecole,Privé,36 avenue du 8 Mai 1945,,91120 PALAISEAU,91120,91477,Palaiseau,91,25,11,1,1,,,,169315100,,,ce.0910912X@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,48.70942213,,,,,,,,,,,,,,,,,,,,,,,,,,
0921078X,Ecole primaire privée Sainte Marie des Vallées,Ecole,Privé,16 rue Pierre Geofroix,,92700 COLOMBES,92700,92025,Colombes,92,25,11,1,1,,,,142420841,,,ce.0921078X@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,8.33E+13,,,48.91831745,,,,,,,,,,,,,,,,,,,,,,,,,,
0921079Y,Ecole primaire privée Jeanne d'Arc,Ecole,Privé,9 boulevard de Valmy,,92700 COLOMBES,92700,92025,Colombes,92,25,11,1,1,,,,155669100,,,ce.0921079Y@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.924926,,,,,,,,,,,,,,,,,,,,,,,,,,
0921082B,Ecole primaire privée Montalembert,Ecole,Privé,238 boulevard Saint Denis,,92400 COURBEVOIE,92400,92026,Courbevoie,92,25,11,1,1,,,,146671300,,,ce.0921082B@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.90302862,,,,,,,,,,,,,,,,,,,,,,,,,,
0921097T,Ecole primaire privée Sainte Marie de La Providence,Ecole,Privé,56 rue Edouard Vaillant,,92300 LEVALLOIS PERRET,92300,92044,Levallois-Perret,92,25,11,1,1,,,,147375776,,,ce.0921097T@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.76E+13,,,48.89508793,,,,,,,,,,,,,,,,,,,,,,,,,,
0921102Y,Ecole primaire privée Institution Notre Dame Saint Edmond,Ecole,Privé,11 bis rue GL Gouraud,,92190 MEUDON,92190,92048,Meudon,92,25,11,1,1,,,,141143456,,,ce.0921102Y@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.02E+13,,,48.80972509,,,,,,,,,,,,,,,,,,,,,,,,,,
0921106C,Ecole primaire privée Notre-Dame de Joie,Ecole,Privé,19 rue Louis Blanc,,92190 MEUDON,92190,92048,Meudon,92,25,11,1,1,,,,145342370,,,ce.0921106C@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,5.80E+13,,,48.81828872,,,,,,,,,,,,,,,,,,,,,,,,,,
0921121U,Ecole primaire privée Sainte Geneviève,Ecole,Privé,72 rue Volant,,92000 NANTERRE,92000,92050,Nanterre,92,25,11,1,1,,,,147252092,,,ce.0921121U@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.89311093,,,,,,,,,,,,,,,,,,,,,,,,,,
0921135J,Ecole primaire privée Charles Péguy,Ecole,Privé,53 rue du Général Carey de Bellemare,,92500 RUEIL MALMAISON,92500,92063,Rueil-Malmaison,92,25,11,1,1,,,,147514896,,,ce.0921135J@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.86395088,,,,,,,,,,,,,,,,,,,,,,,,,,
0921137L,Ecole primaire privée Saint Pie X,Ecole,Privé,19 rue des Ecoles,,92210 ST CLOUD,92210,92064,Saint-Cloud,92,25,11,1,1,,,,146025843,,,ce.0921137L@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.84194608,,,,,,,,,,,,,,,,,,,,,,,,,,
0921141R,Ecole primaire privée Sainte Jeanne d'Arc,Ecole,Privé,7 rue du Docteur Berger,,92330 SCEAUX,92330,92071,Sceaux,92,25,11,1,1,,,,141130795,,,ce.0921141R@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.15E+13,,,48.7765277,,,,,,,,,,,,,,,,,,,,,,,,,,
0922110U,Ecole primaire privée Montessori Bilingue,Ecole,Privé,5 rue de Garches,,92210 ST CLOUD,92210,92064,Saint-Cloud,92,25,11,1,1,,,,146026433,,,embcci@gmail.com,1,0,0,,,,,,,,,,,,,,,3.34E+13,,,48.84359604,,,,,,,,,,,,,,,,,,,,,,,,,,
0922142D,Ecole primaire privée Saint Leufroy,Ecole,Privé,92 rue de la République,,92150 SURESNES,92150,92073,Suresnes,92,25,11,1,1,,,,145065358,,,ce.0922142D@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.50E+13,,,48.86413607,,,,,,,,,,,,,,,,,,,,,,,,,,
0922571V,Ecole Elémentaire privée Bilingue,Ecole,Privé,7 avenue Charlesbourg,,92250 LA GARENNE COLOMBES,92250,92035,La Garenne-Colombes,92,25,11,1,1,,,,143330007,,,benedicte@rainbowschoolparis.com,1,0,0,,,,,,,,,,,,,,,,,,48.90661736,,,,,,,,,,,,,,,,,,,,,,,,,,
0922580E,Ecole maternelle privée Everest,Ecole,Privé,20 rue Henri Martin,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,0,,,,146085491,,,info.ecoleeverest@gmail.com,0,0,0,,,,,,,,,,,,,,,4.50E+13,,,48.83763728,,,,,,,,,,,,,,,,,,,,,,,,,,
0922704P,Ecole élémentaire privée Open Sky,Ecole,Privé,119 rue de Paris,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,1,,,,145273756,,,contact@open-sky-intl.com,0,0,0,,,,,,,,,,,,,,,4.90E+13,,,48.84158002,,,,,,,,,,,,,,,,,,,,,,,,,,
0922715B,Ecole élémentaire Pardess Hannah,Ecole,Privé,32 rue Victor Basch,,92120 MONTROUGE,92120,92049,Montrouge,92,25,11,0,1,,,,142310224,,,pardessmontrouge@gmail.com,0,0,0,,,,,,,,,,,,,,,4.32E+13,,,48.81268774,,,,,,,,,,,,,,,,,,,,,,,,,,
0922744H,Ecole maternelle privée Gan Lechaim,Ecole,Privé,56 rue de l'Aigle DE L'AIGLE,,92250 LA GARENNE COLOMBES,92250,92035,La Garenne-Colombes,92,25,11,1,0,,,,147802178,,,ganlechaim@gmail.com,1,0,0,,,,,,,,,,,,,,,,,,48.90563884,,,,,,,,,,,,,,,,,,,,,,,,,,
0922776T,Ecole élémentaire privée Montessori Beautiful Minds,Ecole,Privé,1 place du Théâtre,,92800 PUTEAUX,92800,92062,Puteaux,92,25,11,1,1,,,,663308658,,,admissions@lautreecole.fr,1,0,0,,,,,,,,,,,,,,,,,,48.88102219,,,,,,,,,,,,,,,,,,,,,,,,,,
0922825W,Ecole maternelle privée montessori - 21 Courbevoie,Ecole,Privé,36 rue Louis Ulbach,,92400 COURBEVOIE,92400,92026,Courbevoie,92,25,11,1,0,,,,769514779,,,magalidincher@gmail.com,1,0,0,,,,,,,,,,,,,,,,,,48.90277944,,,,,,,,,,,,,,,,,,,,,,,,,,
0922877C,Ecole élémentaire privée Iféa Emilie du Châtelet,Ecole,Privé,28 rue Petit,,92110 CLICHY,92110,92024,Clichy,92,25,11,0,1,,,,,,,contact@ifea.education,1,0,0,,,,,,,,,,,,,,,,,,48.90095147,,,,,,,,,,,,,,,,,,,,,,,,,,
0922905H,Ecole maternelle privée M Clichy,Ecole,Privé,31 rue Castérès 92110 Clichy,,92110 CLICHY,92110,92024,Clichy,92,25,11,1,0,,,,671456426,,,clichy@ecolem.fr,1,0,0,,,,,,,,,,,,,,,,,,48.90054386,,,,,,,,,,,,,,,,,,,,,,,,,,
0922948E,Ecole élémentaire privée Internationale Deutsche Schule Paris,Ecole,Privé,18 rue Pasteur,,92210 ST CLOUD,92210,92064,Saint-Cloud,92,25,11,1,1,,,,146028568,,,info@idsp.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.84207212,,,,,,,,,,,,,,,,,,,,,,,,,,
0922953K,Ecole maternelle privée 123 mon école boulogne-billancourt,Ecole,Privé,87 rue du chateau,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,0,,,,171373246,,,contact@123monecole.com,1,0,0,,,,,,,,,,,,,,,8.95E+13,,,48.8426799,,,,,,,,,,,,,,,,,,,,,,,,,,
0922984U,Ecole maternelle privée 123 mon école bois-colombes,Ecole,Privé,6 rue Hispano Suiza,,92270 BOIS COLOMBES,92270,92009,Bois-Colombes,92,25,11,1,0,,,,,,,contact@123monecole.com,1,0,0,,,,,,,,,,,,,,,8.93E+13,,,48.90844444,,,,,,,,,,,,,,,,,,,,,,,,,,
0931098N,Ecole primaire privée Merkaz Hatorah,Ecole,Privé,29 chemin des Bourdons,,93220 GAGNY,93220,93032,Gagny,93,24,11,1,1,,,,141531616,,,ce.0931098N@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,448,,48.88835188,,,,,,,,,,,,,,,,,,,,,,,,,,
0931111C,Ecole élémentaire privée Henri Matisse,Ecole,Privé,88 bis rue Jules Guesde,,93100 MONTREUIL,93100,93048,Montreuil,93,24,11,0,1,,,,145284470,,,ce.0931111C@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,192,,48.86281515,,,,,,,,,,,,,,,,,,,,,,,,,,
0931113E,Ecole primaire privée Sainte Jeanne d'Arc,Ecole,Privé,16 rue Henri Barbusse,,93370 MONTFERMEIL,93370,93047,Montfermeil,93,24,11,1,1,,,,143303187,,,ce.0931113E@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,192,,48.8997451,,,,,,,,,,,,,,,,,,,,,,,,,,
0931124S,Ecole primaire privée Jardin d'enfants Saint-Yves,Ecole,Privé,03 rue Danielle Mitterand via 18 rue Lénine,,93120 LA COURNEUVE,93120,93027,La Courneuve,93,24,11,1,1,,,,148368913,,,ce.0931124S@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.05E+13,181,,48.91971767,,,,,,,,,,,,,,,,,,,,,,,,,,
